time,S1,S2,I1,I2,R1,R2,W1,W2
161.05,2868.7242287249464,1925.9356235078615,97.33581270495417,120.95108495420003,7019.900158253626,7937.238813910111,48.735086512421454,104.79279374618108
161.10000000000002,2867.650400318059,1924.609931999769,97.1914146051633,120.76304209912247,7021.115953170471,7938.749526847407,48.692546059783766,104.72881937842294
161.15,2866.5781355125528,1923.2862514245674,97.04725996504446,120.57534140439091,7022.329944633169,7940.257891388258,48.650020314587024,104.6648249953633
161.20000000000002,2865.50743172156,1921.9645782140233,96.9033483250124,120.38798215714426,7023.542135682096,7941.763911805215,48.607509344772986,104.600810777069
161.25,2864.4382863631013,1920.6449088072477,96.75967922634439,120.20096364609984,7024.752529351882,7943.267592361921,48.56501321799958,104.53677690312979
161.3,2863.370696860075,1919.327239650672,96.61625221117873,120.01428516154971,7025.961128671435,7944.768937313144,48.52253200164147,104.47272355265919
161.35000000000002,2862.30466064025,1918.0115671980366,96.4730668225145,119.82794599535858,7027.167936663939,7946.2679509047875,48.48006576279104,104.40865090429564
161.4,2861.2401751362527,1916.6978879103724,96.33012260421053,119.64194544096067,7028.372956346874,7947.764637373911,48.43761456825909,104.34455913620351
161.45000000000002,2860.1772377855586,1915.3861982559808,96.18741910098434,119.45628279335655,7029.576190732024,7949.259000948757,48.39517848457555,104.2804484260739
161.5,2859.1158460304837,1914.0764947104235,96.04495585841185,119.27095734911106,7030.777642825485,7950.7510458487595,48.35275757799043,104.21631895112596
161.55,2858.0559973181694,1912.7687737564981,95.90273242292582,119.0859684063496,7031.97731562768,7952.240776284575,48.310351914474396,104.1521708881076
161.60000000000002,2856.99768910058,1911.463031884228,95.76074834181568,118.901315264756,7033.1752121333675,7953.728196458092,48.267961559719744,104.08800441329677
161.65,2855.9409188344885,1910.1592655908432,95.6190031632264,118.71699722556941,7034.371335331652,7955.213310562454,48.225586579141066,104.02381970250231
161.70000000000002,2854.8856839814644,1908.8574713807604,95.4774964361573,118.53301359158107,7035.565688205997,7956.696122782087,48.183227037875994,103.95961693106487
161.75,2853.8319820078714,1907.5576457655736,95.33622771046184,118.34936366713221,7036.758273734228,7958.176637292701,48.1408830007861,103.8953962738582
161.8,2852.7798103848486,1906.2597852640297,95.1951965368461,118.16604675811033,7037.949094888557,7959.65485826133,48.0985545324575,103.83115790528983
161.85000000000002,2851.7291665883085,1904.963886402019,95.05440246686831,117.98306217194707,7039.138154635581,7961.130789846334,48.05624169720179,103.76690199930228
161.9,2850.6800480989223,1903.6699457125544,94.91384505293793,117.80040921761504,7040.325455936295,7962.604436197428,48.01394455905676,103.70262872937403
161.95000000000002,2849.632452402112,1902.3779597357552,94.77352384831434,117.61808720562459,7041.511001746108,7964.075801455701,47.97166318178704,103.63833826852034
162,2848.586376988041,1901.087925018834,94.63343840710658,117.43609544802172,7042.69479501485,7965.544889753629,47.92939762888505,103.57403078929453
162.05,2847.541819351602,1899.7998381160755,94.49358828427178,117.25443325838424,7043.87683868678,7967.011705215102,47.887147963571636,103.50970646378867
162.10000000000002,2846.4987769924114,1898.5136955888252,94.35397303561476,117.07309995181973,7045.057135700599,7968.476251955437,47.844914248796904,103.44536546363481
162.15,2845.457247414796,1897.2294940054699,94.21459221778689,116.89209484496233,7046.235688989464,7969.938534081397,47.802696547240956,103.38100796000592
162.20000000000002,2844.4172281277843,1895.9472299414213,94.07544538828498,116.71141725596942,7047.412501480994,7971.398555691219,47.76049492131459,103.31663412361665
162.25,2843.378716645098,1894.6668999791032,93.93653210545077,116.53106650451956,7048.587576097282,7972.85632087462,47.718309433160194,103.25224412472473
162.3,2842.3417104851405,1893.3885007079302,93.79785192846947,116.35104191180874,7049.760915754905,7974.311833712828,47.67614014465231,103.18783813313148
